Quote,Text,Links
Quentin Tarantino didn’t work alone,"Tarantino is thought of as a bit of an auteur, but he had helped crafting “Pulp Fiction.” The story is credited to Tarantino and Roger Avary, and with good reason. The two started working on an anthology film in 1990, with Tarantino’s segment becoming “Reservoir Dogs.” Avary’s section, which was called “Pandemonium Reigns,” helped form the basis for the “Gold Watch” segment of the movie.","http://res.cloudinary.com/ybmedia/image/upload/c_crop,h_847,w_1280,x_0,y_0/c_scale,f_auto,q_auto,w_700/v1/m/d/7/d76fa38ad5157928ae92b2eded9022f8e5b81ccc/quentin-tarantino-work-alone.jpg"
Two fake product staples of Tarantino’s films debuted in “Pulp Fiction”,"If you have watched Tarantino’s movies, you have likely noticed many references and “product placements” for Big Kahuna Burger and Red Apple Cigarettes. Both companies, which were made up by Tarantino, debuted in “Pulp Fiction.”","http://res.cloudinary.com/ybmedia/image/upload/c_crop,h_1347,w_2000,x_0,y_0/c_scale,f_auto,q_auto,w_700/v1/m/a/a/aa469ed07da74f3e34f13fca9c1340967204ba04/two-fake-product-staples-tarantinos-films-debuted.jpg"
TriStar thought it was “too demented” to be made,"“Pulp Fiction” is a pretty crazy movie, and definitely a “hard R.” That makes it not everybody’s cup of tea. This included the head of Columbia TriStar Mike Medavoy. TriStar had a “first look” deal for “Pulp Fiction” but decided to pass on it, as Medavoy declared it “too demented” for his tastes.","http://res.cloudinary.com/ybmedia/image/upload/c_crop,h_1331,w_2000,x_0,y_0/c_scale,f_auto,q_auto,w_700/v1/m/8/1/8142cfd81944913abfff1fba79c9f67799abb3e2/tristar-thought-too-demented.jpg"
“Pulp Fiction” debuted at Cannes and won the Palme d’Or,"Obviously, “Pulp Fiction” did eventually get made. Its debut came at Cannes, arguably the most important film festival in the world. It was a smash at the 1994 Cannes, as it took home the Palme d’Or, which is the top prize the festival presents every year.","http://res.cloudinary.com/ybmedia/image/upload/c_crop,h_1348,w_2000,x_0,y_0/c_scale,f_auto,q_auto,w_700/v1/m/7/8/7811012345d94ab748f33ccb730fb97b787beb02/pulp-fiction-debuted-cannes-won-palme-dor.jpg"
Jules quotes a fictitious Bible passage," This is definitely a quotable movie, and Samuel L. Jackson’s Jules has some lines that have stood the test of time. Jules says that there is a Bible quote he likes to recite, which he does three times in the movie. The quote, he says, is Ezekiel 25:17. While there is an Ezekiel 25:17 in the Bible, it is not what Jules actually says in the film. His line is an amalgam and approximation of other lines from the Bible. ","http://res.cloudinary.com/ybmedia/image/upload/c_crop,h_1352,w_2000,x_0,y_0/c_scale,f_auto,q_auto,w_700/v1/m/e/5/e5b6684130dadb142b066621b65b804844dfa8a2/jules-quotes-fictitious-bible-passage.jpg"
The movie received seven Oscar nominations," “Pulp Fiction” made Tarantino a huge name, making over $100 million at the box office (a first for an “independent” movie) and earning seven Oscar nominations. John Travolta, Samuel L. Jackson, and Uma Thurman all got acting nominations, and the movie was up for Best Picture as well. In the end, though, the only win went to Tarantino and Avary for Best Original Screenplay. ","http://res.cloudinary.com/ybmedia/image/upload/c_crop,h_1344,w_2000,x_0,y_0/c_scale,f_auto,q_auto,w_700/v1/m/d/1/d16fe20a5b7d3f19bb675ae7836e2549f836c14a/movie-received-seven-oscar-nominations.jpg"
John Travolta could have had a huge 1994," “Pulp Fiction” didn’t win Best Picture, instead losing to “Forrest Gump.” Travolta’s turn as Vincent Vega in Tarantino’s film was huge for him, but his 1994 could have, theoretically, been even better. Reportedly Travolta turned down the role of Forrest Gump, which of course went to Tom Hanks. Hanks proceeded to win his second Best Actor award in a row. ","http://res.cloudinary.com/ybmedia/image/upload/c_crop,h_1336,w_2000,x_0,y_0/c_scale,f_auto,q_auto,w_700/v1/m/2/3/2313d385c8f1e426ed2aa24ddd3e34b6c78e9feb/john-travolta-huge-1994.jpg"
Tarantino didn’t intend to lead a Travolta Renaissance,"People point to “Pulp Fiction” as a huge turning point for Travolta’s career. It definitely provided him a boost, which lasted until he decided to make “Battlefield: Earth,” one of the all-time great flops. While Tarantino has earned a reputation for casting actors he loves and giving their careers a jolt, it was not his intent with “Pulp Fiction.” He wanted Michael Madsen for the movie, but Madsen signed on to act in “Wyatt Earp” instead.","http://res.cloudinary.com/ybmedia/image/upload/c_crop,h_1324,w_2000,x_0,y_0/c_scale,f_auto,q_auto,w_700/v1/m/0/8/08cc9babffc444b90488620745535b65fb88cbe2/tarantino-intend-lead-travolta-renaissance.jpg"
Vincent Vega has a brother you may have heard of,"Speaking of Madsen, in “Reservoir Dogs” he played Mr. Blonde. That’s just his code name, of course. Blonde’s real name is Vic Vega. No, this is not a coincidence. Vic from “Reservoir Dogs” and Vincent from “Pulp Fiction” are brothers. Tarantino even used to talk about making a Vega brothers movie, though it never came to pass.","http://res.cloudinary.com/ybmedia/image/upload/c_crop,h_1600,w_2000,x_0,y_0/c_scale,f_auto,q_auto,w_700/v1/m/a/6/a69f7b953b3cb33a30b40d2916baa7979306eba8/vincent-vega-brother-heard.jpg"
Hopefully Lance checked the expiration date on his cereal,"Lance, the drug dealer played by Eric Stoltz, can be seen chowing down on a bowl of Frute Brute during the film. In real life, he wouldn’t have wanted to eat that cereal. One of the beloved “Monster Cereals” along with Count Chocula and the gang, Frute Brute was discontinued in 1982. While it came back for a bit in the 2010s, in 1994 any bowl of Frute Brute would have long since expired.","http://res.cloudinary.com/ybmedia/image/upload/c_crop,h_1372,w_2000,x_0,y_0/c_scale,f_auto,q_auto,w_700/v1/m/c/1/c126e7e833075733aca3620b9a3ee077d34f7221/hopefully-lance-checked-expiration-date-on-his.jpg"
